bacteria;temperatura_°C;medio;replica;tiempo_h;Crecimiento normalizado
E. coli K-12;25;limitado;1;12;0,6749
E. coli K-12;25;limitado;2;0;0,03771
E. coli K-12;25;limitado;2;0,12121;0
E. coli K-12;25;limitado;2;0,24242;0
E. coli K-12;25;limitado;2;0,36364;0
E. coli K-12;25;limitado;2;0,48485;0,00522
E. coli K-12;25;limitado;2;0,60606;0
E. coli K-12;25;limitado;2;0,72727;0
E. coli K-12;25;limitado;2;0,84848;0
E. coli K-12;25;limitado;2;0,9697;0
E. coli K-12;25;limitado;2;1,09091;0
E. coli K-12;25;limitado;2;1,21212;0
E. coli K-12;25;limitado;2;1,33333;0,01636
E. coli K-12;25;limitado;2;1,45455;0,0117
E. coli K-12;25;limitado;2;1,57576;0,00973
E. coli K-12;25;limitado;2;1,69697;0,03683
E. coli K-12;25;limitado;2;1,81818;0,0265
E. coli K-12;25;limitado;2;1,93939;0,04161
E. coli K-12;25;limitado;2;2,06061;0,05654
E. coli K-12;25;limitado;2;2,18182;0,08588
E. coli K-12;25;limitado;2;2,30303;0,11857
E. coli K-12;25;limitado;2;2,42424;0,1283
E. coli K-12;25;limitado;2;2,54545;0,17229
E. coli K-12;25;limitado;2;2,66667;0,23454
E. coli K-12;25;limitado;2;2,78788;0,24016
E. coli K-12;25;limitado;2;2,90909;0,28354
E. coli K-12;25;limitado;2;3,0303;0,33181
E. coli K-12;25;limitado;2;3,15152;0,36242
E. coli K-12;25;limitado;2;3,27273;0,40145
E. coli K-12;25;limitado;2;3,39394;0,41169
E. coli K-12;25;limitado;2;3,51515;0,47179
E. coli K-12;25;limitado;2;3,63636;0,5154
E. coli K-12;25;limitado;2;3,75758;0,54556
E. coli K-12;25;limitado;2;3,87879;0,59766
E. coli K-12;25;limitado;2;4;0,59823
E. coli K-12;25;limitado;2;4,12121;0,67168
E. coli K-12;25;limitado;2;4,24242;0,67289
E. coli K-12;25;limitado;2;4,36364;0,67613
E. coli K-12;25;limitado;2;4,48485;0,70342
E. coli K-12;25;limitado;2;4,60606;0,71863
E. coli K-12;25;limitado;2;4,72727;0,74963
E. coli K-12;25;limitado;2;4,84848;0,74853
E. coli K-12;25;limitado;2;4,9697;0,77692
E. coli K-12;25;limitado;2;5,09091;0,79019
E. coli K-12;25;limitado;2;5,21212;0,81233
E. coli K-12;25;limitado;2;5,33333;0,8146
E. coli K-12;25;limitado;2;5,45455;0,82709
E. coli K-12;25;limitado;2;5,57576;0,87355
E. coli K-12;25;limitado;2;5,69697;0,85312
E. coli K-12;25;limitado;2;5,81818;0,86274
E. coli K-12;25;limitado;2;5,93939;0,8455
E. coli K-12;25;limitado;2;6,06061;0,84895
E. coli K-12;25;limitado;2;6,18182;0,90561
E. coli K-12;25;limitado;2;6,30303;0,91478
E. coli K-12;25;limitado;2;6,42424;0,89481
E. coli K-12;25;limitado;2;6,54545;0,92673
E. coli K-12;25;limitado;2;6,66667;0,90499
E. coli K-12;25;limitado;2;6,78788;0,89008
E. coli K-12;25;limitado;2;6,90909;0,92353
E. coli K-12;25;limitado;2;7,0303;0,85729
E. coli K-12;25;limitado;2;7,15152;0,88922
E. coli K-12;25;limitado;2;7,27273;0,89955
E. coli K-12;25;limitado;2;7,39394;0,88392
E. coli K-12;25;limitado;2;7,51515;0,9179
E. coli K-12;25;limitado;2;7,63636;0,92881
E. coli K-12;25;limitado;2;7,75758;0,90155
E. coli K-12;25;limitado;2;7,87879;0,8953
E. coli K-12;25;limitado;2;8;0,90387
E. coli K-12;25;limitado;2;8,12121;0,91851
E. coli K-12;25;limitado;2;8,24242;0,9025
E. coli K-12;25;limitado;2;8,36364;0,90245
E. coli K-12;25;limitado;2;8,48485;0,90175
E. coli K-12;25;limitado;2;8,60606;0,94508
E. coli K-12;25;limitado;2;8,72727;0,87573
E. coli K-12;25;limitado;2;8,84848;0,90134
E. coli K-12;25;limitado;2;8,9697;0,92021
E. coli K-12;25;limitado;2;9,09091;0,97415
E. coli K-12;25;limitado;2;9,21212;0,89516
E. coli K-12;25;limitado;2;9,33333;0,9706
E. coli K-12;25;limitado;2;9,45455;0,91704
E. coli K-12;25;limitado;2;9,57576;0,95607
E. coli K-12;25;limitado;2;9,69697;0,91446
E. coli K-12;25;limitado;2;9,81818;0,91704
E. coli K-12;25;limitado;2;9,93939;0,92309
E. coli K-12;25;limitado;2;10,06061;0,91449
E. coli K-12;25;limitado;2;10,18182;0,91097
E. coli K-12;25;limitado;2;10,30303;0,91332
E. coli K-12;25;limitado;2;10,42424;0,91596
E. coli K-12;25;limitado;2;10,54545;0,91729
E. coli K-12;25;limitado;2;10,66667;0,89948
E. coli K-12;25;limitado;2;10,78788;0,91786
E. coli K-12;25;limitado;2;10,90909;0,92861
E. coli K-12;25;limitado;2;11,0303;0,88948
E. coli K-12;25;limitado;2;11,15152;0,93024
E. coli K-12;25;limitado;2;11,27273;0,93201
E. coli K-12;25;limitado;2;11,39394;0,93175
E. coli K-12;25;limitado;2;11,51515;0,93484
E. coli K-12;25;limitado;2;11,63636;0,92109
E. coli K-12;25;limitado;2;11,75758;0,91287
E. coli K-12;25;limitado;2;11,87879;0,92934
E. coli K-12;25;limitado;2;12;0,92139
E. coli K-12;25;limitado;3;0;0,04106
E. coli K-12;25;limitado;3;0,12121;0
E. coli K-12;25;limitado;3;0,24242;0,00759
E. coli K-12;25;limitado;3;0,36364;0,00843
E. coli K-12;25;limitado;3;0,48485;0
E. coli K-12;25;limitado;3;0,60606;0,00692
E. coli K-12;25;limitado;3;0,72727;0,00288
E. coli K-12;25;limitado;3;0,84848;0,02081
E. coli K-12;25;limitado;3;0,9697;0
E. coli K-12;25;limitado;3;1,09091;0,00133
E. coli K-12;25;limitado;3;1,21212;0,01133
E. coli K-12;25;limitado;3;1,33333;0,01941
E. coli K-12;25;limitado;3;1,45455;0,00823
E. coli K-12;25;limitado;3;1,57576;0,01766
E. coli K-12;25;limitado;3;1,69697;0,06684
E. coli K-12;25;limitado;3;1,81818;0,0749
E. coli K-12;25;limitado;3;1,93939;0,10182
E. coli K-12;25;limitado;3;2,06061;0,14416
E. coli K-12;25;limitado;3;2,18182;0,18155
E. coli K-12;25;limitado;3;2,30303;0,22304
E. coli K-12;25;limitado;3;2,42424;0,27924
E. coli K-12;25;limitado;3;2,54545;0,31496
E. coli K-12;25;limitado;3;2,66667;0,37628
E. coli K-12;25;limitado;3;2,78788;0,40261
E. coli K-12;25;limitado;3;2,90909;0,4277
E. coli K-12;25;limitado;3;3,0303;0,52039
E. coli K-12;25;limitado;3;3,15152;0,51617
E. coli K-12;25;limitado;3;3,27273;0,5525
E. coli K-12;25;limitado;3;3,39394;0,58464
E. coli K-12;25;limitado;3;3,51515;0,62885
E. coli K-12;25;limitado;3;3,63636;0,62748
E. coli K-12;25;limitado;3;3,75758;0,65029
E. coli K-12;25;limitado;3;3,87879;0,69846
E. coli K-12;25;limitado;3;4;0,69944
E. coli K-12;25;limitado;3;4,12121;0,68078
E. coli K-12;25;limitado;3;4,24242;0,7215
E. coli K-12;25;limitado;3;4,36364;0,73693
E. coli K-12;25;limitado;3;4,48485;0,7395
E. coli K-12;25;limitado;3;4,60606;0,77249
E. coli K-12;25;limitado;3;4,72727;0,77357
E. coli K-12;25;limitado;3;4,84848;0,73104
E. coli K-12;25;limitado;3;4,9697;0,75394
E. coli K-12;25;limitado;3;5,09091;0,75685
E. coli K-12;25;limitado;3;5,21212;0,76756
E. coli K-12;25;limitado;3;5,33333;0,78628
E. coli K-12;25;limitado;3;5,45455;0,7627
E. coli K-12;25;limitado;3;5,57576;0,78283
E. coli K-12;25;limitado;3;5,69697;0,78126
E. coli K-12;25;limitado;3;5,81818;0,75917
E. coli K-12;25;limitado;3;5,93939;0,82064
E. coli K-12;25;limitado;3;6,06061;0,77389
E. coli K-12;25;limitado;3;6,18182;0,78881
E. coli K-12;25;limitado;3;6,30303;0,78024
E. coli K-12;25;limitado;3;6,42424;0,81504
E. coli K-12;25;limitado;3;6,54545;0,77357
E. coli K-12;25;limitado;3;6,66667;0,78771
E. coli K-12;25;limitado;3;6,78788;0,79191
E. coli K-12;25;limitado;3;6,90909;0,77617
E. coli K-12;25;limitado;3;7,0303;0,81411
E. coli K-12;25;limitado;3;7,15152;0,80351
E. coli K-12;25;limitado;3;7,27273;0,81
E. coli K-12;25;limitado;3;7,39394;0,78998
E. coli K-12;25;limitado;3;7,51515;0,82185
E. coli K-12;25;limitado;3;7,63636;0,78591
E. coli K-12;25;limitado;3;7,75758;0,79644
E. coli K-12;25;limitado;3;7,87879;0,76276
E. coli K-12;25;limitado;3;8;0,83296
E. coli K-12;25;limitado;3;8,12121;0,81135
E. coli K-12;25;limitado;3;8,24242;0,78741
E. coli K-12;25;limitado;3;8,36364;0,79548
E. coli K-12;25;limitado;3;8,48485;0,7909
E. coli K-12;25;limitado;3;8,60606;0,81106
E. coli K-12;25;limitado;3;8,72727;0,79241
E. coli K-12;25;limitado;3;8,84848;0,79569
E. coli K-12;25;limitado;3;8,9697;0,80692
E. coli K-12;25;limitado;3;9,09091;0,79219
E. coli K-12;25;limitado;3;9,21212;0,79947
E. coli K-12;25;limitado;3;9,33333;0,78552
E. coli K-12;25;limitado;3;9,45455;0,79809
E. coli K-12;25;limitado;3;9,57576;0,79575
E. coli K-12;25;limitado;3;9,69697;0,75045
E. coli K-12;25;limitado;3;9,81818;0,77861
E. coli K-12;25;limitado;3;9,93939;0,74204
E. coli K-12;25;limitado;3;10,06061;0,79893
E. coli K-12;25;limitado;3;10,18182;0,81528
E. coli K-12;25;limitado;3;10,30303;0,79197
E. coli K-12;25;limitado;3;10,42424;0,78394
E. coli K-12;25;limitado;3;10,54545;0,75447
E. coli K-12;25;limitado;3;10,66667;0,79523
E. coli K-12;25;limitado;3;10,78788;0,78172
E. coli K-12;25;limitado;3;10,90909;0,77927
E. coli K-12;25;limitado;3;11,0303;0,79858
E. coli K-12;25;limitado;3;11,15152;0,78543
E. coli K-12;25;limitado;3;11,27273;0,79977
E. coli K-12;25;limitado;3;11,39394;0,79476
E. coli K-12;25;limitado;3;11,51515;0,80969
E. coli K-12;25;limitado;3;11,63636;0,79457
E. coli K-12;25;limitado;3;11,75758;0,80176
E. coli K-12;25;limitado;3;11,87879;0,757
E. coli K-12;25;limitado;3;12;0,84183
E. coli K-12;25;limitado;4;0;0,05061
E. coli K-12;25;limitado;4;0,12121;0,00598
E. coli K-12;25;limitado;4;0,24242;0
E. coli K-12;25;limitado;4;0,36364;0,02209
E. coli K-12;25;limitado;4;0,48485;0
E. coli K-12;25;limitado;4;0,60606;0,00526
E. coli K-12;25;limitado;4;0,72727;0,00241
E. coli K-12;25;limitado;4;0,84848;0,01633
E. coli K-12;25;limitado;4;0,9697;0
E. coli K-12;25;limitado;4;1,09091;0
E. coli K-12;25;limitado;4;1,21212;0
E. coli K-12;25;limitado;4;1,33333;0
E. coli K-12;25;limitado;4;1,45455;0,0251
E. coli K-12;25;limitado;4;1,57576;0,02573
E. coli K-12;25;limitado;4;1,69697;0,02529
E. coli K-12;25;limitado;4;1,81818;0,03346
E. coli K-12;25;limitado;4;1,93939;0,07185
E. coli K-12;25;limitado;4;2,06061;0,08659
E. coli K-12;25;limitado;4;2,18182;0,09136
E. coli K-12;25;limitado;4;2,30303;0,1375
E. coli K-12;25;limitado;4;2,42424;0,16501
E. coli K-12;25;limitado;4;2,54545;0,18315
E. coli K-12;25;limitado;4;2,66667;0,23367
E. coli K-12;25;limitado;4;2,78788;0,27434
E. coli K-12;25;limitado;4;2,90909;0,31588
E. coli K-12;25;limitado;4;3,0303;0,34805
E. coli K-12;25;limitado;4;3,15152;0,37684
E. coli K-12;25;limitado;4;3,27273;0,41196
E. coli K-12;25;limitado;4;3,39394;0,45307
E. coli K-12;25;limitado;4;3,51515;0,47529
E. coli K-12;25;limitado;4;3,63636;0,53697
E. coli K-12;25;limitado;4;3,75758;0,55839
E. coli K-12;25;limitado;4;3,87879;0,58337
E. coli K-12;25;limitado;4;4;0,61914
E. coli K-12;25;limitado;4;4,12121;0,65946
E. coli K-12;25;limitado;4;4,24242;0,68224
E. coli K-12;25;limitado;4;4,36364;0,70569
E. coli K-12;25;limitado;4;4,48485;0,71312
E. coli K-12;25;limitado;4;4,60606;0,74853
E. coli K-12;25;limitado;4;4,72727;0,71728
E. coli K-12;25;limitado;4;4,84848;0,75478
E. coli K-12;25;limitado;4;4,9697;0,78455
E. coli K-12;25;limitado;4;5,09091;0,77938
E. coli K-12;25;limitado;4;5,21212;0,77823
E. coli K-12;25;limitado;4;5,33333;0,78621
E. coli K-12;25;limitado;4;5,45455;0,77525
E. coli K-12;25;limitado;4;5,57576;0,79391
E. coli K-12;25;limitado;4;5,69697;0,81896
E. coli K-12;25;limitado;4;5,81818;0,81176
E. coli K-12;25;limitado;4;5,93939;0,82444
E. coli K-12;25;limitado;4;6,06061;0,83573
E. coli K-12;25;limitado;4;6,18182;0,86367
E. coli K-12;25;limitado;4;6,30303;0,82116
E. coli K-12;25;limitado;4;6,42424;0,83202
E. coli K-12;25;limitado;4;6,54545;0,83403
E. coli K-12;25;limitado;4;6,66667;0,84896
E. coli K-12;25;limitado;4;6,78788;0,86806
E. coli K-12;25;limitado;4;6,90909;0,8308
E. coli K-12;25;limitado;4;7,0303;0,82682
E. coli K-12;25;limitado;4;7,15152;0,86281
E. coli K-12;25;limitado;4;7,27273;0,87771
E. coli K-12;25;limitado;4;7,39394;0,86671
E. coli K-12;25;limitado;4;7,51515;0,88905
E. coli K-12;25;limitado;4;7,63636;0,87551
E. coli K-12;25;limitado;4;7,75758;0,86942
E. coli K-12;25;limitado;4;7,87879;0,8725
E. coli K-12;25;limitado;4;8;0,87097
E. coli K-12;25;limitado;4;8,12121;0,86883
E. coli K-12;25;limitado;4;8,24242;0,86454
E. coli K-12;25;limitado;4;8,36364;0,88788
E. coli K-12;25;limitado;4;8,48485;0,86485
E. coli K-12;25;limitado;4;8,60606;0,86412
E. coli K-12;25;limitado;4;8,72727;0,8498
E. coli K-12;25;limitado;4;8,84848;0,84652
E. coli K-12;25;limitado;4;8,9697;0,87362
E. coli K-12;25;limitado;4;9,09091;0,87097
E. coli K-12;25;limitado;4;9,21212;0,88979
E. coli K-12;25;limitado;4;9,33333;0,87435
E. coli K-12;25;limitado;4;9,45455;0,88946
E. coli K-12;25;limitado;4;9,57576;0,85361
E. coli K-12;25;limitado;4;9,69697;0,87046
E. coli K-12;25;limitado;4;9,81818;0,90679
E. coli K-12;25;limitado;4;9,93939;0,91953
E. coli K-12;25;limitado;4;10,06061;0,89915
E. coli K-12;25;limitado;4;10,18182;0,90461
E. coli K-12;25;limitado;4;10,30303;0,90675
E. coli K-12;25;limitado;4;10,42424;0,89095
E. coli K-12;25;limitado;4;10,54545;0,89131
E. coli K-12;25;limitado;4;10,66667;0,89397
E. coli K-12;25;limitado;4;10,78788;0,89668
E. coli K-12;25;limitado;4;10,90909;0,87149
E. coli K-12;25;limitado;4;11,0303;0,86657
E. coli K-12;25;limitado;4;11,15152;0,8945
E. coli K-12;25;limitado;4;11,27273;0,89013
E. coli K-12;25;limitado;4;11,39394;0,85986
E. coli K-12;25;limitado;4;11,51515;0,87309
E. coli K-12;25;limitado;4;11,63636;0,90132
E. coli K-12;25;limitado;4;11,75758;0,89649
E. coli K-12;25;limitado;4;11,87879;0,84353
E. coli K-12;25;limitado;4;12;0,88955
E. coli K-12;25;limitado;5;0;0,03281
E. coli K-12;25;limitado;5;0,12121;0,00538
E. coli K-12;25;limitado;5;0,24242;0,00798
E. coli K-12;25;limitado;5;0,36364;0
E. coli K-12;25;limitado;5;0,48485;0,01091
E. coli K-12;25;limitado;5;0,60606;0
E. coli K-12;25;limitado;5;0,72727;0,01224
E. coli K-12;25;limitado;5;0,84848;0
E. coli K-12;25;limitado;5;0,9697;0,00668
E. coli K-12;25;limitado;5;1,09091;0
E. coli K-12;25;limitado;5;1,21212;0,00615
E. coli K-12;25;limitado;5;1,33333;0,01451
E. coli K-12;25;limitado;5;1,45455;0,00084
E. coli K-12;25;limitado;5;1,57576;0
E. coli K-12;25;limitado;5;1,69697;0,01083
E. coli K-12;25;limitado;5;1,81818;0,02478
E. coli K-12;25;limitado;5;1,93939;0,03677
E. coli K-12;25;limitado;5;2,06061;0,04992
E. coli K-12;25;limitado;5;2,18182;0,07966
E. coli K-12;25;limitado;5;2,30303;0,10827
E. coli K-12;25;limitado;5;2,42424;0,12765
E. coli K-12;25;limitado;5;2,54545;0,18198
E. coli K-12;25;limitado;5;2,66667;0,21983
E. coli K-12;25;limitado;5;2,78788;0,24359
E. coli K-12;25;limitado;5;2,90909;0,27869
E. coli K-12;25;limitado;5;3,0303;0,34201
E. coli K-12;25;limitado;5;3,15152;0,37769
E. coli K-12;25;limitado;5;3,27273;0,41544
E. coli K-12;25;limitado;5;3,39394;0,43108
E. coli K-12;25;limitado;5;3,51515;0,4897
E. coli K-12;25;limitado;5;3,63636;0,51864
E. coli K-12;25;limitado;5;3,75758;0,55459
E. coli K-12;25;limitado;5;3,87879;0,56964
E. coli K-12;25;limitado;5;4;0,64692
E. coli K-12;25;limitado;5;4,12121;0,64113
E. coli K-12;25;limitado;5;4,24242;0,69326
E. coli K-12;25;limitado;5;4,36364;0,7072
E. coli K-12;25;limitado;5;4,48485;0,73234
E. coli K-12;25;limitado;5;4,60606;0,73019
E. coli K-12;25;limitado;5;4,72727;0,7482
E. coli K-12;25;limitado;5;4,84848;0,755
E. coli K-12;25;limitado;5;4,9697;0,76445
E. coli K-12;25;limitado;5;5,09091;0,79968
E. coli K-12;25;limitado;5;5,21212;0,7513
E. coli K-12;25;limitado;5;5,33333;0,79994
E. coli K-12;25;limitado;5;5,45455;0,78471
E. coli K-12;25;limitado;5;5,57576;0,79859
E. coli K-12;25;limitado;5;5,69697;0,83102
E. coli K-12;25;limitado;5;5,81818;0,82163
E. coli K-12;25;limitado;5;5,93939;0,85265
E. coli K-12;25;limitado;5;6,06061;0,81003
E. coli K-12;25;limitado;5;6,18182;0,84672
E. coli K-12;25;limitado;5;6,30303;0,83488
E. coli K-12;25;limitado;5;6,42424;0,82993
E. coli K-12;25;limitado;5;6,54545;0,85578
E. coli K-12;25;limitado;5;6,66667;0,8441
E. coli K-12;25;limitado;5;6,78788;0,8563
E. coli K-12;25;limitado;5;6,90909;0,86158
E. coli K-12;25;limitado;5;7,0303;0,83335
E. coli K-12;25;limitado;5;7,15152;0,86898
E. coli K-12;25;limitado;5;7,27273;0,87855
E. coli K-12;25;limitado;5;7,39394;0,85097
E. coli K-12;25;limitado;5;7,51515;0,89193
E. coli K-12;25;limitado;5;7,63636;0,87251
E. coli K-12;25;limitado;5;7,75758;0,86296
E. coli K-12;25;limitado;5;7,87879;0,83162
E. coli K-12;25;limitado;5;8;0,84927
E. coli K-12;25;limitado;5;8,12121;0,85319
E. coli K-12;25;limitado;5;8,24242;0,83239
E. coli K-12;25;limitado;5;8,36364;0,84256
E. coli K-12;25;limitado;5;8,48485;0,85319
E. coli K-12;25;limitado;5;8,60606;0,82473
E. coli K-12;25;limitado;5;8,72727;0,8598
E. coli K-12;25;limitado;5;8,84848;0,84138
E. coli K-12;25;limitado;5;8,9697;0,84867
E. coli K-12;25;limitado;5;9,09091;0,88443
E. coli K-12;25;limitado;5;9,21212;0,89648
E. coli K-12;25;limitado;5;9,33333;0,83907
E. coli K-12;25;limitado;5;9,45455;0,844
E. coli K-12;25;limitado;5;9,57576;0,85355
E. coli K-12;25;limitado;5;9,69697;0,82108
E. coli K-12;25;limitado;5;9,81818;0,86477
E. coli K-12;25;limitado;5;9,93939;0,86758
E. coli K-12;25;limitado;5;10,06061;0,87453
E. coli K-12;25;limitado;5;10,18182;0,84602
E. coli K-12;25;limitado;5;10,30303;0,87139
E. coli K-12;25;limitado;5;10,42424;0,8668
E. coli K-12;25;limitado;5;10,54545;0,84798
E. coli K-12;25;limitado;5;10,66667;0,84316
E. coli K-12;25;limitado;5;10,78788;0,84889
E. coli K-12;25;limitado;5;10,90909;0,87031
E. coli K-12;25;limitado;5;11,0303;0,85698
E. coli K-12;25;limitado;5;11,15152;0,86119
E. coli K-12;25;limitado;5;11,27273;0,84588
E. coli K-12;25;limitado;5;11,39394;0,84593
E. coli K-12;25;limitado;5;11,51515;0,85026
E. coli K-12;25;limitado;5;11,63636;0,84536
E. coli K-12;25;limitado;5;11,75758;0,86936
E. coli K-12;25;limitado;5;11,87879;0,87486
E. coli K-12;25;limitado;5;12;0,85789
E. coli K-12;25;limitado;6;0;0,03961
E. coli K-12;25;limitado;6;0,12121;0,00988
E. coli K-12;25;limitado;6;0,24242;0
E. coli K-12;25;limitado;6;0,36364;0
E. coli K-12;25;limitado;6;0,48485;0,01192
E. coli K-12;25;limitado;6;0,60606;0
E. coli K-12;25;limitado;6;0,72727;0
E. coli K-12;25;limitado;6;0,84848;0
E. coli K-12;25;limitado;6;0,9697;0
E. coli K-12;25;limitado;6;1,09091;0
E. coli K-12;25;limitado;6;1,21212;0
E. coli K-12;25;limitado;6;1,33333;0,0069
E. coli K-12;25;limitado;6;1,45455;0
E. coli K-12;25;limitado;6;1,57576;0
E. coli K-12;25;limitado;6;1,69697;0,00353
E. coli K-12;25;limitado;6;1,81818;0,00531
E. coli K-12;25;limitado;6;1,93939;0,00413
E. coli K-12;25;limitado;6;2,06061;0,00785
E. coli K-12;25;limitado;6;2,18182;0,03427
E. coli K-12;25;limitado;6;2,30303;0,05101
E. coli K-12;25;limitado;6;2,42424;0,09576
E. coli K-12;25;limitado;6;2,54545;0,10622
E. coli K-12;25;limitado;6;2,66667;0,14611
E. coli K-12;25;limitado;6;2,78788;0,18466
E. coli K-12;25;limitado;6;2,90909;0,22722
E. coli K-12;25;limitado;6;3,0303;0,27883
E. coli K-12;25;limitado;6;3,15152;0,32354
E. coli K-12;25;limitado;6;3,27273;0,37435
E. coli K-12;25;limitado;6;3,39394;0,41089
E. coli K-12;25;limitado;6;3,51515;0,45423
E. coli K-12;25;limitado;6;3,63636;0,50376
E. coli K-12;25;limitado;6;3,75758;0,52522
E. coli K-12;25;limitado;6;3,87879;0,56765
E. coli K-12;25;limitado;6;4;0,60344
E. coli K-12;25;limitado;6;4,12121;0,64224
E. coli K-12;25;limitado;6;4,24242;0,66032
E. coli K-12;25;limitado;6;4,36364;0,73145
E. coli K-12;25;limitado;6;4,48485;0,71526
E. coli K-12;25;limitado;6;4,60606;0,71286
E. coli K-12;25;limitado;6;4,72727;0,74941
E. coli K-12;25;limitado;6;4,84848;0,79878
E. coli K-12;25;limitado;6;4,9697;0,77334
